Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
608,Tom Walsh,4,1992-2006,0,0,0,0,,0,0,0,0,0,,3.0,2,0,0,0
609,Joe Walton,15,1973-1991,111,53,57,1,.482,-4,2,3,1,2,.333,3.1,1,0,0,0
610,Dave Wannstedt,16,1989-2004,169,82,87,0,.485,-5,3,5,2,3,.400,2.9,1,0,0,0
611,Bob Waterfield+,3,1960-1962,34,9,24,1,.273,-15,0,0,0,0,,6.3,6,0,0,0
612,Red Weaver,2,1924-1925,17,4,13,0,.235,-9,0,0,0,0,,13.0,10,0,0,0
613,Alex Webster,5,1969-1973,70,29,40,1,.420,-11,0,0,0,0,,3.4,2,0,0,0
614,Ed Weir,2,1927-1928,26,15,7,4,.682,8,0,0,0,0,,4.5,2,0,0,0
615,Charlie Weis,9,1997-2010,0,0,0,0,,0,0,0,0,0,,1.9,1,0,0,0
616,John Whelchel,1,1949,7,3,3,1,.500,0,0,0,0,0,,4.0,4,0,0,0
617,Ken Whisenhunt,8,2004-2011,80,40,40,0,.500,0,2,6,4,2,.667,1.8,1,0,0,1
618,Mike White,2,1995-1996,32,15,17,0,.469,-2,0,0,0,0,,3.5,3,0,0,0
619,Woody Widenhofer,9,1979-1992,0,0,0,0,,0,0,0,0,0,,2.0,1,0,0,0
620,Paul Wiggin,5,1975-1979,35,11,24,0,.314,-13,0,0,0,0,,3.4,2,0,0,0
621,Hubert Wiggs,1,1922,4,1,3,0,.250,-2,0,0,0,0,,13.0,13,0,0,0
622,Willie Wilkin,1,1946,5,2,2,1,.500,0,0,0,0,0,,4.0,4,0,0,0
623,Bud Wilkinson,2,1978-1979,29,9,20,0,.310,-11,0,0,0,0,,4.5,4,0,0,0
624,Gregg Williams,15,1997-2011,48,17,31,0,.354,-14,0,0,0,0,,2.6,1,0,0,0
625,Jerry Williams,3,1969-1971,31,7,22,2,.241,-15,0,0,0,0,,4.0,3,0,0,0
626,Richard Williamson,4,1990-2001,19,4,15,0,.211,-11,0,0,0,0,,3.8,2,0,0,0
627,Ray Willsey,6,1961-1977,2,2,0,0,1.000,2,0,0,0,0,,2.5,1,0,0,0
628,George Wilson,12,1957-1969,160,68,84,8,.447,-16,1,2,2,0,1.000,3.3,1,1,0,0
629,Larry Wilson+,1,1979,3,2,1,0,.667,1,0,0,0,0,,5.0,5,0,0,0
630,Charley Winner,7,1966-1975,93,44,44,5,.500,0,0,0,0,0,,3.1,2,0,0,0
Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
631,Alex Wood,1,2004,0,0,0,0,,0,0,0,0,0,,3.0,3,0,0,0
632,Hoge Workman,1,1931,10,2,8,0,.200,-6,0,0,0,0,,8.0,8,0,0,0
